State,Year,Gender,Type,Total
A & N Islands,2001,Male,By Self Infliction of injury,0
A & N Islands,2001,Male,By coming under running vehicles/trains,0
A & N Islands,2001,Male,By touching electric wires,0
A & N Islands,2001,Male,Cancellation/Non-Settlement of Marriage,0
A & N Islands,2001,Male,Cancer,0
A & N Islands,2001,Male,Causes Not known,27
A & N Islands,2001,Male,Death of Dear Person,0
A & N Islands,2001,Male,Diploma,0
A & N Islands,2001,Male,Divorce,0
A & N Islands,2001,Male,Divorcee,0
A & N Islands,2001,Male,Dowry Dispute,0
A & N Islands,2001,Male,Drug Abuse/Addiction,0
A & N Islands,2001,Male,Failure in Examination,2
A & N Islands,2001,Male,Fall in Social Reputation,0
A & N Islands,2001,Male,Family Problems,11
A & N Islands,2001,Male,Farming/Agriculture Activity,3
A & N Islands,2001,Male,Graduate,1
A & N Islands,2001,Male,House Wife,0
A & N Islands,2001,Male,Hr. Secondary/Intermediate/Pre-Universit,2
A & N Islands,2001,Male,Ideological Causes/Hero Worshipping,0
A & N Islands,2001,Male,Illegitimate Pregnancy,0
A & N Islands,2001,Male,Illness (Aids/STD),0
A & N Islands,2001,Male,Insanity/Mental Illness,9
A & N Islands,2001,Male,Love Affairs,3
A & N Islands,2001,Male,Married,55
A & N Islands,2001,Male,Matriculate/Secondary,10
A & N Islands,2001,Male,Middle,39
A & N Islands,2001,Male,Never Married,24
A & N Islands,2001,Male,No Education,7
A & N Islands,2001,Male,Not having Children(Barrenness/Impotency,0
A & N Islands,2001,Male,Other Causes (Please Specity),9
A & N Islands,2001,Male,Other Prolonged Illness,18
A & N Islands,2001,Male,Others (Please Specify),15
A & N Islands,2001,Male,Paralysis,0
A & N Islands,2001,Male,Physical Abuse (Rape/Incest Etc.),0
A & N Islands,2001,Male,Post Graduate and Above,0
A & N Islands,2001,Male,Poverty,0
A & N Islands,2001,Male,Primary,20
A & N Islands,2001,Male,Professional Activity,0
A & N Islands,2001,Male,Professional/Career Problem,0
A & N Islands,2001,Male,Property Dispute,0
A & N Islands,2001,Male,Public Sector Undertaking,4
A & N Islands,2001,Male,Retired Person,2
A & N Islands,2001,Male,Self-employed (Business activity),0
A & N Islands,2001,Male,Seperated,0
A & N Islands,2001,Male,Service (Government),20
A & N Islands,2001,Male,Service (Private),32
A & N Islands,2001,Male,Student,3
A & N Islands,2001,Male,Suspected/Illicit Relation,0
A & N Islands,2001,Male,Unemployed,0
A & N Islands,2001,Male,Unemployment,0
A & N Islands,2001,Male,Widowed/Widower,0
A & N Islands,2002,Female,Bankruptcy or Sudden change in Economic Status,0
A & N Islands,2002,Female,By Consuming Insecticides,0
A & N Islands,2002,Female,By Consuming Other Poison,10
A & N Islands,2002,Female,By Drowning,0
A & N Islands,2002,Female,By Fire-Arms,0
A & N Islands,2002,Female,By Fire/Self Immolation,8
A & N Islands,2002,Female,By Hanging,35
A & N Islands,2002,Female,By Jumping from (Building),0
A & N Islands,2002,Female,By Jumping from (Other sites),0
A & N Islands,2002,Female,By Jumping off Moving Vehicles/Trains,0
A & N Islands,2002,Female,By Machine,0
A & N Islands,2002,Female,By Other means,0
A & N Islands,2002,Female,By Over Alcoholism,0
A & N Islands,2002,Female,By Overdose of sleeping pills,0
A & N Islands,2002,Female,By Self Infliction of injury,0
A & N Islands,2002,Female,By coming under running vehicles/trains,0
A & N Islands,2002,Female,By touching electric wires,0
A & N Islands,2002,Female,Cancellation/Non-Settlement of Marriage,0
A & N Islands,2002,Female,Cancer,0
A & N Islands,2002,Female,Causes Not known,11
A & N Islands,2002,Female,Death of Dear Person,1
A & N Islands,2002,Female,Diploma,0
A & N Islands,2002,Female,Divorce,0
A & N Islands,2002,Female,Divorcee,0
A & N Islands,2002,Female,Dowry Dispute,0
A & N Islands,2002,Female,Drug Abuse/Addiction,0
A & N Islands,2002,Female,Failure in Examination,2
A & N Islands,2002,Female,Fall in Social Reputation,0
A & N Islands,2002,Female,Family Problems,14
A & N Islands,2002,Female,Farming/Agriculture Activity,0
A & N Islands,2002,Female,Graduate,0
A & N Islands,2002,Female,House Wife,44
A & N Islands,2002,Female,Hr. Secondary/Intermediate/Pre-Universit,3
A & N Islands,2002,Female,Ideological Causes/Hero Worshipping,0
A & N Islands,2002,Female,Illegitimate Pregnancy,0
A & N Islands,2002,Female,Illness (Aids/STD),0
A & N Islands,2002,Female,Insanity/Mental Illness,7
A & N Islands,2002,Female,Love Affairs,3
A & N Islands,2002,Female,Married,36
A & N Islands,2002,Female,Matriculate/Secondary,5
A & N Islands,2002,Female,Middle,45
A & N Islands,2002,Female,Never Married,17
A & N Islands,2002,Female,No Education,0
A & N Islands,2002,Female,Not having Children (Barrenness/Impotency,0
A & N Islands,2002,Female,Other Causes (Please Specity),6
A & N Islands,2002,Female,Other Prolonged Illness,9
A & N Islands,2002,Female,Others (Please Specify),0
A & N Islands,2002,Female,Paralysis,0
A & N Islands,2002,Female,Physical Abuse (Rape/Incest Etc.),0
A & N Islands,2002,Female,Post Graduate and Above,0
A & N Islands,2002,Female,Poverty,0
A & N Islands,2002,Female,Primary,0
A & N Islands,2002,Female,Professional Activity,0
A & N Islands,2002,Female,Professional/Career Problem,0
A & N Islands,2002,Female,Property Dispute,0
A & N Islands,2002,Female,Public Sector Undertaking,0
A & N Islands,2002,Female,Retired Person,0
A & N Islands,2002,Female,Self-employed (Business activity),0
A & N Islands,2002,Female,Seperated,0
A & N Islands,2002,Female,Service (Government),1
A & N Islands,2002,Female,Service (Private),0
A & N Islands,2002,Female,Student,8
A & N Islands,2002,Female,Suspected/Illicit Relation,0
A & N Islands,2002,Female,Unemployed,0
A & N Islands,2002,Female,Unemployment,0
A & N Islands,2002,Female,Widowed/Widower,0
A & N Islands,2002,Male,Bankruptcy or Sudden change in Economic Status,0
A & N Islands,2002,Male,By Consuming Insecticides,0
A & N Islands,2002,Male,By Consuming Other Poison,11
A & N Islands,2002,Male,By Drowning,2
A & N Islands,2002,Male,By Fire-Arms,0
A & N Islands,2002,Male,By Fire/Self Immolation,1
A & N Islands,2002,Male,By Hanging,77
A & N Islands,2002,Male,By Jumping from (Building),0
A & N Islands,2002,Male,By Jumping from (Other sites),0
A & N Islands,2002,Male,By Jumping off Moving Vehicles/Trains,0
A & N Islands,2002,Male,By Machine,0
A & N Islands,2002,Male,By Other means,0
A & N Islands,2002,Male,By Over Alcoholism,0
A & N Islands,2002,Male,By Overdose of sleeping pills,0
A & N Islands,2002,Male,By Self Infliction of injury,0
A & N Islands,2002,Male,By coming under running vehicles/trains,0
A & N Islands,2002,Male,By touching electric wires,0
A & N Islands,2002,Male,Cancellation/Non-Settlement of Marriage,0
A & N Islands,2002,Male,Cancer,0
A & N Islands,2002,Male,Causes Not known,24
A & N Islands,2002,Male,Death of Dear Person,1
A & N Islands,2002,Male,Diploma,0
A & N Islands,2002,Male,Divorce,0
A & N Islands,2002,Male,Divorcee,0
A & N Islands,2002,Male,Dowry Dispute,0
A & N Islands,2002,Male,Drug Abuse/Addiction,0
A & N Islands,2002,Male,Failure in Examination,1
A & N Islands,2002,Male,Fall in Social Reputation,0
A & N Islands,2002,Male,Family Problems,11
A & N Islands,2002,Male,Farming/Agriculture Activity,7
A & N Islands,2002,Male,Graduate,2
A & N Islands,2002,Male,House Wife,0
A & N Islands,2002,Male,Hr. Secondary/Intermediate/Pre-Universit,1
A & N Islands,2002,Male,Ideological Causes/Hero Worshipping,0
A & N Islands,2002,Male,Illegitimate Pregnancy,0
A & N Islands,2002,Male,Illness (Aids/STD),0
A & N Islands,2002,Male,Insanity/Mental Illness,13
A & N Islands,2002,Male,Love Affairs,5
A & N Islands,2002,Male,Married,54
A & N Islands,2002,Male,Matriculate/Secondary,17
A & N Islands,2002,Male,Middle,55
A & N Islands,2002,Male,Never Married,37
A & N Islands,2002,Male,No Education,0
A & N Islands,2002,Male,Not having Children (Barrenness/Impotency,0
A & N Islands,2002,Male,Other Causes (Please Specity),15
A & N Islands,2002,Male,Other Prolonged Illness,20
A & N Islands,2002,Male,Others (Please Specify),1
A & N Islands,2002,Male,Paralysis,0
A & N Islands,2002,Male,Physical Abuse (Rape/Incest Etc.),0
A & N Islands,2002,Male,Post Graduate and Above,1
A & N Islands,2002,Male,Poverty,0
A & N Islands,2002,Male,Primary,15
A & N Islands,2002,Male,Professional Activity,0
A & N Islands,2002,Male,Professional/Career Problem,0
A & N Islands,2002,Male,Property Dispute,0
A & N Islands,2002,Male,Public Sector Undertaking,0
A & N Islands,2002,Male,Retired Person,3
A & N Islands,2002,Male,Self-employed (Business activity),1
A & N Islands,2002,Male,Seperated,0
A & N Islands,2002,Male,Service (Government),18
A & N Islands,2002,Male,Service (Private),56
A & N Islands,2002,Male,Student,5
A & N Islands,2002,Male,Suspected/Illicit Relation,0
A & N Islands,2002,Male,Unemployed,0
A & N Islands,2002,Male,Unemployment,1
A & N Islands,2002,Male,Widowed/Widower,0
A & N Islands,2003,Female,Bankruptcy or Sudden change in Economic,0
A & N Islands,2003,Female,By Consuming Insecticides,8
A & N Islands,2003,Female,By Consuming Other Poison,0
A & N Islands,2003,Female,By Drowning,0
A & N Islands,2003,Female,By Fire-Arms,0
A & N Islands,2003,Female,By Fire/Self Immolation,0
A & N Islands,2003,Female,By Hanging,31
A & N Islands,2003,Female,By Jumping from (Building),0
A & N Islands,2003,Female,By Jumping from (Other sites),0
A & N Islands,2003,Female,By Jumping off Moving Vehicles/Trains,0
A & N Islands,2003,Female,By Machine,0
A & N Islands,2003,Female,By Other means (please specify),4
A & N Islands,2003,Female,By Over Alcoholism,0
A & N Islands,2003,Female,By Overdose of sleeping pills,0
A & N Islands,2003,Female,By Self Infliction of injury,0
A & N Islands,2003,Female,By coming under running vehicles/trains,0
A & N Islands,2003,Female,By touching electric wires,0
A & N Islands,2003,Female,Cancellation/Non-Settlement of Marriage,1
A & N Islands,2003,Female,Cancer,0
A & N Islands,2003,Female,Causes Not known,7
A & N Islands,2003,Female,Death of Dear Person,1
A & N Islands,2003,Female,Diploma,0
A & N Islands,2003,Female,Divorce,0
A & N Islands,2003,Female,Divorcee,0
A & N Islands,2003,Female,Dowry Dispute,0
A & N Islands,2003,Female,Drug Abuse/Addiction,0
A & N Islands,2003,Female,Failure in Examination,0
A & N Islands,2003,Female,Fall in Social Reputation,1
A & N Islands,2003,Female,Family Problems,11
A & N Islands,2003,Female,Farming/Agriculture Activity,0
A & N Islands,2003,Female,Graduate,2
A & N Islands,2003,Female,House Wife,28
A & N Islands,2003,Female,Hr. Secondary/Intermediate/Pre-Universit,1
A & N Islands,2003,Female,Ideological Causes/Hero Worshipping,0
A & N Islands,2003,Female,Illegitimate Pregnancy,0
A & N Islands,2003,Female,Illness (Aids/STD),0
A & N Islands,2003,Female,Insanity/Mental Illness,4
A & N Islands,2003,Female,Love Affairs,2
A & N Islands,2003,Female,Married,28
A & N Islands,2003,Female,Matriculate/Secondary,21
A & N Islands,2003,Female,Middle,17
A & N Islands,2003,Female,Never Married,15
A & N Islands,2003,Female,No Education,1
A & N Islands,2003,Female,Not having Children(Barrenness/Impotency,1
A & N Islands,2003,Female,Other Causes (Please Specity),5
A & N Islands,2003,Female,Other Prolonged Illness,9
A & N Islands,2003,Female,Others (Please Specify),0
A & N Islands,2003,Female,Paralysis,0
A & N Islands,2003,Female,Physical Abuse (Rape/Incest Etc.),0
A & N Islands,2003,Female,Post Graduate and Above,0
A & N Islands,2003,Female,Poverty,0
A & N Islands,2003,Female,Primary,1
A & N Islands,2003,Female,Professional Activity,0
A & N Islands,2003,Female,Professional/Career Problem,0
A & N Islands,2003,Female,Property Dispute,0
A & N Islands,2003,Female,Public Sector Undertaking,0
A & N Islands,2003,Female,Retired Person,0
A & N Islands,2003,Female,Self-employed (Business activity),0
A & N Islands,2003,Female,Seperated,0
A & N Islands,2003,Female,Service (Government),1
A & N Islands,2003,Female,Service (Private),0
A & N Islands,2003,Female,Student,8
A & N Islands,2003,Female,Suspected/Illicit Relation,1
A & N Islands,2003,Female,Unemployed,6
A & N Islands,2003,Female,Unemployment,0
A & N Islands,2003,Female,Widowed/Widower,0
A & N Islands,2003,Male,Bankruptcy or Sudden change in Economic,0
A & N Islands,2003,Male,By Consuming Insecticides,2
A & N Islands,2003,Male,By Consuming Other Poison,0
A & N Islands,2003,Male,By Drowning,1
A & N Islands,2003,Male,By Fire-Arms,0
A & N Islands,2003,Male,By Fire/Self Immolation,0
A & N Islands,2003,Male,By Hanging,66
A & N Islands,2003,Male,By Jumping from (Building),0
A & N Islands,2003,Male,By Jumping from (Other sites),0
A & N Islands,2003,Male,By Jumping off Moving Vehicles/Trains,0
A & N Islands,2003,Male,By Machine,0
A & N Islands,2003,Male,By Other means (please specify),1
A & N Islands,2003,Male,By Over Alcoholism,0
A & N Islands,2003,Male,By Overdose of sleeping pills,0
A & N Islands,2003,Male,By Self Infliction of injury,0
A & N Islands,2003,Male,By coming under running vehicles/trains,0
A & N Islands,2003,Male,By touching electric wires,0
A & N Islands,2003,Male,Cancellation/Non-Settlement of Marriage,1
A & N Islands,2003,Male,Cancer,0
A & N Islands,2003,Male,Causes Not known,13
A & N Islands,2003,Male,Death of Dear Person,0
A & N Islands,2003,Male,Diploma,0
A & N Islands,2003,Male,Divorce,0
A & N Islands,2003,Male,Divorcee,0
A & N Islands,2003,Male,Dowry Dispute,0
A & N Islands,2003,Male,Drug Abuse/Addiction,0
A & N Islands,2003,Male,Failure in Examination,1
A & N Islands,2003,Male,Fall in Social Reputation,3
A & N Islands,2003,Male,Family Problems,11
A & N Islands,2003,Male,Farming/Agriculture Activity,1
A & N Islands,2003,Male,Graduate,2
A & N Islands,2003,Male,House Wife,0
A & N Islands,2003,Male,Hr. Secondary/Intermediate/Pre-Universit,4
A & N Islands,2003,Male,Ideological Causes/Hero Worshipping,0
A & N Islands,2003,Male,Illegitimate Pregnancy,0
A & N Islands,2003,Male,Illness (Aids/STD),0
A & N Islands,2003,Male,Insanity/Mental Illness,5
A & N Islands,2003,Male,Love Affairs,6
A & N Islands,2003,Male,Married,51
A & N Islands,2003,Male,Matriculate/Secondary,15
A & N Islands,2003,Male,Middle,42
A & N Islands,2003,Male,Never Married,19
A & N Islands,2003,Male,No Education,2
A & N Islands,2003,Male,Not having Children(Barrenness/Impotency,0
A & N Islands,2003,Male,Other Causes (Please Specity),13
A & N Islands,2003,Male,Other Prolonged Illness,14
A & N Islands,2003,Male,Others (Please Specify),0
A & N Islands,2003,Male,Paralysis,0
A & N Islands,2003,Male,Physical Abuse (Rape/Incest Etc.),0
A & N Islands,2003,Male,Post Graduate and Above,0
A & N Islands,2003,Male,Poverty,3
A & N Islands,2003,Male,Primary,5
A & N Islands,2003,Male,Professional Activity,0
A & N Islands,2003,Male,Professional/Career Problem,0
A & N Islands,2003,Male,Property Dispute,0
A & N Islands,2003,Male,Public Sector Undertaking,3
A & N Islands,2003,Male,Retired Person,2
A & N Islands,2003,Male,Self-employed (Business activity),0
A & N Islands,2003,Male,Seperated,0
A & N Islands,2003,Male,Service (Government),14
A & N Islands,2003,Male,Service (Private),42
A & N Islands,2003,Male,Student,2
A & N Islands,2003,Male,Suspected/Illicit Relation,0
A & N Islands,2003,Male,Unemployed,6
A & N Islands,2003,Male,Unemployment,0
A & N Islands,2003,Male,Widowed/Widower,0
A & N Islands,2004,Female,Bankruptcy or Sudden change in Economic,0
A & N Islands,2004,Female,By Consuming Insecticides,0
A & N Islands,2004,Female,By Consuming Other Poison,6
A & N Islands,2004,Female,By Drowning,0
A & N Islands,2004,Female,By Fire-Arms,0
A & N Islands,2004,Female,By Fire/Self Immolation,3
A & N Islands,2004,Female,By Hanging,32
A & N Islands,2004,Female,By Jumping from (Building),0
A & N Islands,2004,Female,By Jumping from (Other sites),0
A & N Islands,2004,Female,By Jumping off Moving Vehicles/Trains,0
A & N Islands,2004,Female,By Machine,0
A & N Islands,2004,Female,By Other means (please specify),0
A & N Islands,2004,Female,By Over Alcoholism,0
A & N Islands,2004,Female,By Overdose of sleeping pills,0
A & N Islands,2004,Female,By Self Infliction of injury,0
A & N Islands,2004,Female,By coming under running vehicles/trains,0
A & N Islands,2004,Female,By touching electric wires,0
A & N Islands,2004,Female,Cancellation/Non-Settlement of Marriage,0
A & N Islands,2004,Female,Cancer,1
A & N Islands,2004,Female,Causes Not known,5
A & N Islands,2004,Female,Death of Dear Person,1
A & N Islands,2004,Female,Diploma,0
A & N Islands,2004,Female,Divorce,0
A & N Islands,2004,Female,Divorcee,0
A & N Islands,2004,Female,Dowry Dispute,0
A & N Islands,2004,Female,Drug Abuse/Addiction,0
A & N Islands,2004,Female,Failure in Examination,2
A & N Islands,2004,Female,Fall in Social Reputation,0
A & N Islands,2004,Female,Family Problems,9
A & N Islands,2004,Female,Farming/Agriculture Activity,0
A & N Islands,2004,Female,Graduate,0
A & N Islands,2004,Female,House Wife,25
A & N Islands,2004,Female,Hr. Secondary/Intermediate/Pre-Universit,5
A & N Islands,2004,Female,Ideological Causes/Hero Worshipping,0
A & N Islands,2004,Female,Illegitimate Pregnancy,0
A & N Islands,2004,Female,Illness (Aids/STD),0
A & N Islands,2004,Female,Insanity/Mental Illness,3
A & N Islands,2004,Female,Love Affairs,1
A & N Islands,2004,Female,Married,26
A & N Islands,2004,Female,Matriculate/Secondary,10
A & N Islands,2004,Female,Middle,18
A & N Islands,2004,Female,Never Married,15
A & N Islands,2004,Female,No Education,1
A & N Islands,2004,Female,Not having Children(Barrenness/Impotency,0
A & N Islands,2004,Female,Other Causes (Please Specity),2
A & N Islands,2004,Female,Other Prolonged Illness,11
A & N Islands,2004,Female,Others (Please Specify),4
A & N Islands,2004,Female,Paralysis,1
A & N Islands,2004,Female,Physical Abuse (Rape/Incest Etc.),0
A & N Islands,2004,Female,Post Graduate and Above,0
A & N Islands,2004,Female,Poverty,0
A & N Islands,2004,Female,Primary,7
A & N Islands,2004,Female,Professional Activity,0
A & N Islands,2004,Female,Professional/Career Problem,4
A & N Islands,2004,Female,Property Dispute,0
A & N Islands,2004,Female,Public Sector Undertaking,0
A & N Islands,2004,Female,Retired Person,0
A & N Islands,2004,Female,Self-employed (Business activity),0
A & N Islands,2004,Female,Seperated,0
A & N Islands,2004,Female,Service (Government),2
A & N Islands,2004,Female,Service (Private),1
A & N Islands,2004,Female,Student,8
A & N Islands,2004,Female,Suspected/Illicit Relation,0
A & N Islands,2004,Female,Unemployed,1
A & N Islands,2004,Female,Unemployment,1
A & N Islands,2004,Female,Widowed/Widower,0
A & N Islands,2004,Male,Bankruptcy or Sudden change in Economic,1
A & N Islands,2004,Male,By Consuming Insecticides,0
A & N Islands,2004,Male,By Consuming Other Poison,5
A & N Islands,2004,Male,By Drowning,1
A & N Islands,2004,Male,By Fire-Arms,0
A & N Islands,2004,Male,By Fire/Self Immolation,0
A & N Islands,2004,Male,By Hanging,73
A & N Islands,2004,Male,By Jumping from (Building),0
A & N Islands,2004,Male,By Jumping from (Other sites),0
A & N Islands,2004,Male,By Jumping off Moving Vehicles/Trains,0
A & N Islands,2004,Male,By Machine,0
A & N Islands,2004,Male,By Other means (please specify),0
A & N Islands,2004,Male,By Over Alcoholism,0
A & N Islands,2004,Male,By Overdose of sleeping pills,0
A & N Islands,2004,Male,By Self Infliction of injury,0
A & N Islands,2004,Male,By coming under running vehicles/trains,0
A & N Islands,2004,Male,By touching electric wires,2
A & N Islands,2004,Male,Cancellation/Non-Settlement of Marriage,0
A & N Islands,2004,Male,Cancer,1
A & N Islands,2004,Male,Causes Not known,12
A & N Islands,2004,Male,Death of Dear Person,1
A & N Islands,2004,Male,Diploma,0
A & N Islands,2004,Male,Divorce,1
A & N Islands,2004,Male,Divorcee,1
A & N Islands,2004,Male,Dowry Dispute,0
A & N Islands,2004,Male,Drug Abuse/Addiction,0
A & N Islands,2004,Male,Failure in Examination,3
A & N Islands,2004,Male,Fall in Social Reputation,0
A & N Islands,2004,Male,Family Problems,6
A & N Islands,2004,Male,Farming/Agriculture Activity,3
A & N Islands,2004,Male,Graduate,1
A & N Islands,2004,Male,House Wife,0
A & N Islands,2004,Male,Hr. Secondary/Intermediate/Pre-Universit,9
A & N Islands,2004,Male,Ideological Causes/Hero Worshipping,0
A & N Islands,2004,Male,Illegitimate Pregnancy,0
A & N Islands,2004,Male,Illness (Aids/STD),0
A & N Islands,2004,Male,Insanity/Mental Illness,15
A & N Islands,2004,Male,Love Affairs,5
A & N Islands,2004,Male,Married,57
A & N Islands,2004,Male,Matriculate/Secondary,19
A & N Islands,2004,Male,Middle,30
A & N Islands,2004,Male,Never Married,23
A & N Islands,2004,Male,No Education,5
A & N Islands,2004,Male,Not having Children(Barrenness/Impotency,0
A & N Islands,2004,Male,Other Causes (Please Specity),6
A & N Islands,2004,Male,Other Prolonged Illness,16
A & N Islands,2004,Male,Others (Please Specify),8
A & N Islands,2004,Male,Paralysis,0
A & N Islands,2004,Male,Physical Abuse (Rape/Incest Etc.),0
A & N Islands,2004,Male,Post Graduate and Above,0
A & N Islands,2004,Male,Poverty,4
A & N Islands,2004,Male,Primary,17
A & N Islands,2004,Male,Professional Activity,2
A & N Islands,2004,Male,Professional/Career Problem,3
A & N Islands,2004,Male,Property Dispute,1
A & N Islands,2004,Male,Public Sector Undertaking,0
A & N Islands,2004,Male,Retired Person,2
A & N Islands,2004,Male,Self-employed (Business activity),4
A & N Islands,2004,Male,Seperated,0
A & N Islands,2004,Male,Service (Government),18
A & N Islands,2004,Male,Service (Private),36
A & N Islands,2004,Male,Student,8
A & N Islands,2004,Male,Suspected/Illicit Relation,1
A & N Islands,2004,Male,Unemployed,0
A & N Islands,2004,Male,Unemployment,5
A & N Islands,2004,Male,Widowed/Widower,0
A & N Islands,2005,Female,Bankruptcy or Sudden change in Economic,0
A & N Islands,2005,Female,By Consuming Insecticides,13
A & N Islands,2005,Female,By Consuming Other Poison,0
A & N Islands,2005,Female,By Drowning,1
A & N Islands,2005,Female,By Fire-Arms,0
A & N Islands,2005,Female,By Fire/Self Immolation,3
A & N Islands,2005,Female,By Hanging,36
A & N Islands,2005,Female,By Jumping from (Building),0
A & N Islands,2005,Female,By Jumping from (Other sites),0
A & N Islands,2005,Female,By Jumping off Moving Vehicles/Trains,0
A & N Islands,2005,Female,By Machine,0
A & N Islands,2005,Female,By Other means (please specify),0
A & N Islands,2005,Female,By Over Alcoholism,0
A & N Islands,2005,Female,By Overdose of sleeping pills,0
A & N Islands,2005,Female,By Self Infliction of injury,0
A & N Islands,2005,Female,By coming under running vehicles/trains,0
A & N Islands,2005,Female,By touching electric wires,0
A & N Islands,2005,Female,Cancellation/Non-Settlement of Marriage,0
A & N Islands,2005,Female,Cancer,0
A & N Islands,2005,Female,Causes Not known,6
A & N Islands,2005,Female,Death of Dear Person,0
A & N Islands,2005,Female,Diploma,0
A & N Islands,2005,Female,Divorce,0
A & N Islands,2005,Female,Divorcee,0
A & N Islands,2005,Female,Dowry Dispute,0
A & N Islands,2005,Female,Drug Abuse/Addiction,0
A & N Islands,2005,Female,Failure in Examination,3
A & N Islands,2005,Female,Fall in Social Reputation,0
A & N Islands,2005,Female,Family Problems,1
A & N Islands,2005,Female,Farming/Agriculture Activity,1
A & N Islands,2005,Female,Graduate,1
A & N Islands,2005,Female,House Wife,32
A & N Islands,2005,Female,Hr. Secondary/Intermediate/Pre-Universit,2
A & N Islands,2005,Female,Ideological Causes/Hero Worshipping,0
A & N Islands,2005,Female,Illegitimate Pregnancy,0
A & N Islands,2005,Female,Illness (Aids/STD),0
A & N Islands,2005,Female,Insanity/Mental Illness,7
A & N Islands,2005,Female,Love Affairs,0
A & N Islands,2005,Female,Married,35
A & N Islands,2005,Female,Matriculate/Secondary,18
A & N Islands,2005,Female,Middle,14
A & N Islands,2005,Female,Never Married,18
A & N Islands,2005,Female,No Education,4
A & N Islands,2005,Female,Not having Children(Barrenness/Impotency,0
